Year,Winners (Player),Innings,Runs,Highest Score,Average,Strike Rate,50,100,4s,6s
2008,Shaun Marsh (PBKS),11,616,115,68.44,139.68,5,1,59,26
2009,Matthew Hayden (CSK),12,572,89,52,144.81,5,0,60,22
2010,Sachin Tendulkar (MI),15,618,89,47.53,132.61,5,0,86,3
2011,Chris Gayle (RCB),12,608,107,67.55,183.13,3,2,57,44
2012,Chris Gayle (RCB),14,733,128,61.08,160.74,7,1,46,59
2013,Michael Hussey (CSK),17,733,95,52.35,129.5,6,0,81,17
2014,Robin Uthappa (KKR),16,660,83,44,137.78,5,0,74,18
2015,David Warner (SRH),14,562,91,43.23,156.54,7,0,65,21
2016,Virat Kohli (RCB),16,973,113,81.08,152.03,7,4,83,38
2017,David Warner (SRH),14,641,126,58.27,141.81,4,1,63,26
2018,Kane Williamson (SRH),17,735,84,52.5,142.44,8,0,64,28
2019,David Warner (SRH),12,692,100,69.2,143.87,8,1,57,21
2020,KL Rahul (PBKS),14,670,132*,55.83,129.34,5,1,58,23
2021,Ruturaj Gaikwad (CSK),16,635,101*,45.35,136.26,4,1,64,23
2022,Jos Buttler (RR),17,863,116,57.53,149.05,4,4,83,45
2023,Shubman Gill (GT),17,890,129,59.33,157.8,4,3,85,33
2024,Virat Kohli (RCB),15,741,113,61.75,154.7,5,1,62,38
2025,Sai Sudharsan (GT),15,759,108*,54.21,156.17,6,1,88,21