Season,Player,Team,Matches,Wickets
2008,Sohail Tanveer,RR,11,22
2009,RP Singh,DC,16,23
2010,Pragyan Ojha,DC,16,21
2011,Lasith Malinga,MI,16,28
2012,Morne Morkel,DC,16,25
2013,Dwayne Bravo,CSK,18,32
2014,Mohit Sharma,CSK,16,23
2015,Dwayne Bravo,CSK,16,26
2016,Bhuvneshwar Kumar,SRH,17,23
2017,Bhuvneshwar Kumar,SRH,14,26
2018,Andrew Tye,PBKS,14,24
2019,Imran Tahir,CSK,17,26
2020,Kagiso Rabada,DC,17,30
2021,Harshal Patel,RCB,15,32
2022,Yuzvendra Chahal,RR,17,27
2023,Mohammed Shami,GT,17,28
2024,Harshal Patel,PBKS,14,24
2025,Prasidh Krishna,GT,15,25